Date,TotalValue
2021-07-09,100000.0
2021-07-12,100000.0
2021-07-13,100000.0
2021-07-14,100000.0
2021-07-15,100000.0
2021-07-16,100000.0
2021-07-19,100000.0
2021-07-20,100000.0
2021-07-21,100000.0
2021-07-22,100000.0
2021-07-23,100000.0
2021-07-26,100000.0
2021-07-27,100000.0
2021-07-28,100000.0
2021-07-29,100000.0
2021-07-30,100000.0
2021-08-02,100000.0
2021-08-03,100000.0
2021-08-04,100000.0
2021-08-05,100000.0
2021-08-06,100000.0
2021-08-09,100000.0
2021-08-10,100000.0
2021-08-11,100000.0
2021-08-12,100000.0
2021-08-13,100000.0
2021-08-16,100000.0
2021-08-17,100000.0
2021-08-18,100000.0
2021-08-19,100000.0
2021-08-20,100000.0
2021-08-23,100000.0
2021-08-24,100000.0
2021-08-25,100000.0
2021-08-26,100000.0
2021-08-27,100000.0
2021-08-30,100000.0
2021-08-31,100000.0
2021-09-01,100000.0
2021-09-02,100000.0
2021-09-03,100000.0
2021-09-06,100000.0
2021-09-07,100000.0
2021-09-08,100000.0
2021-09-09,100000.0
2021-09-10,100000.0
2021-09-13,100000.0
2021-09-14,100000.0
2021-09-15,100000.0
2021-09-16,100000.0
2021-09-17,100000.0
2021-09-20,100000.0
2021-09-21,100000.0
2021-09-22,100000.0
2021-09-23,99900.10051605488
2021-09-24,100349.30576727177
2021-09-27,100202.25386450079
2021-09-28,99977.80407831456
2021-09-29,99888.42358419682
2021-09-30,99164.14813015248
2021-10-01,98932.2907266357
2021-10-04,99212.48614475514
2021-10-05,99308.15343377377
2021-10-06,99116.99207374836
2021-10-07,98768.81368062283
2021-10-08,98806.49369284893
2021-10-11,98860.20146581913
2021-10-12,98755.11926839138
2021-10-13,98586.54757497097
2021-10-14,99146.88746473576
2021-10-15,99077.93650672222
2021-10-18,99125.04161665226
2021-10-19,99268.9450273254
2021-10-20,99423.66946909214
2021-10-21,99620.66929504658
2021-10-22,99367.03736851002
2021-10-25,99493.10951325679
2021-10-26,99250.50240371014
2021-10-27,99135.38375088954
2021-10-28,99151.48283669735
2021-10-29,99765.22562554217
2021-11-01,99765.22562554217
2021-11-02,99765.22562554217
2021-11-03,99765.22562554217
2021-11-04,99765.22562554217
2021-11-05,99765.22562554217
2021-11-08,99765.22562554217
2021-11-09,99765.22562554217
2021-11-10,99765.22562554217
2021-11-11,99665.56101505246
2021-11-12,99360.85013596501
2021-11-15,99281.27444200005
2021-11-16,98629.01855556454
2021-11-17,98235.98103527512
2021-11-18,98235.98103527512
2021-11-19,98645.82740811791
2021-11-22,97841.65052632775
2021-11-23,97550.16950718846
2021-11-24,97574.30184750048
2021-11-25,97210.28933660474
2021-11-26,97268.03938202347
2021-11-29,97993.02329449143
2021-11-30,97995.23689107384
2021-12-01,98315.00850204911
2021-12-02,98221.52025012461
2021-12-03,98106.03050319638
2021-12-06,98093.82469026533
2021-12-07,97936.61795727696
2021-12-08,97848.27062825648
2021-12-09,98447.74154571976
2021-12-10,97994.13009278264
2021-12-13,98154.86409882989
2021-12-14,97925.56031827416
2021-12-15,97716.04443613972
2021-12-16,97971.99412695851
2021-12-17,98348.42967287984
2021-12-20,97562.23050538982
2021-12-21,97857.09398285834
2021-12-22,97944.35520140614
2021-12-23,98302.75096957172
2021-12-24,98289.38663880315
2021-12-27,98262.6786650845
2021-12-28,98312.77421764817
2021-12-29,98180.40321080174
2021-12-30,98574.11308519328
2021-12-31,98269.35048655953
2022-01-03,98689.59248821226
2022-01-04,98071.65769271339
2022-01-05,97910.09617392506
2022-01-06,98169.29385225262
2022-01-07,98025.12044493642
2022-01-10,98520.39716438735
